Date,City,Spending Group,Spending Subgroup,Treasury Spend Subgroup,Treausry Spend Group,Amount
Aug 2021,"Seattle City, Washington",Economic and Workforce Development,Youth Workforce Development,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Negative Economic Impacts,1000000.00
Aug 2021,"Seattle City, Washington",Community aid,Other Community Aid,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Negative Economic Impacts,300000.00
Aug 2021,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Small Business Economic Assistance (General),Negative Economic Impacts,4300000.00
Aug 2021,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Small Business Economic Assistance (General),Negative Economic Impacts,3200000.00
Aug 2021,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Small Business Economic Assistance (General),Negative Economic Impacts,580000.00
Aug 2021,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Small Business Economic Assistance (General),Negative Economic Impacts,150000.00
Aug 2021,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Small Business Economic Assistance (General),Negative Economic Impacts,150000.00
Aug 2021,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Aid to Other Impacted Industries,Negative Economic Impacts,120000.00
Aug 2021,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Aid to Other Impacted Industries,Negative Economic Impacts,500000.00
Aug 2021,"Seattle City, Washington",Economic and Workforce Development,Neighborhood/Downtown Revitalization,Aid to Other Impacted Industries,Negative Economic Impacts,500000.00
Aug 2021,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Small Business Economic Assistance (General),Negative Economic Impacts,2000000.00
Aug 2021,"Seattle City, Washington",Economic and Workforce Development,Neighborhood/Downtown Revitalization,Small Business Economic Assistance (General),Negative Economic Impacts,5500000.00
Aug 2021,"Seattle City, Washington",Economic and Workforce Development,Neighborhood/Downtown Revitalization,Small Business Economic Assistance (General),Negative Economic Impacts,700000.00
Aug 2021,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Negative Economic Impacts,400000.00
Aug 2021,"Seattle City, Washington",Community aid,Youth and Family Support,Healthy Childhood Environments: Other,Services to Disproportionately Impacted Communities,225000.00
Aug 2021,"Seattle City, Washington",Community aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,690000.00
Aug 2021,"Seattle City, Washington",Community aid,Youth and Family Support,Healthy Childhood Environments: Child Care,Services to Disproportionately Impacted Communities,5000000.00
Aug 2021,"Seattle City, Washington",Public Health,Mental Health,Housing Support: Other Housing Assistance,Services to Disproportionately Impacted Communities,600000.00
Aug 2021,"Seattle City, Washington",Public Safety,Other Public Safety,Social Determinants of Health: Community Violence Interventions,Services to Disproportionately Impacted Communities,600000.00
Aug 2021,"Seattle City, Washington",Housing,Homelessness,Housing Support: Other Housing Assistance,Services to Disproportionately Impacted Communities,2300000.00
Aug 2021,"Seattle City, Washington",Housing,Homelessness,Housing Support: Services for Unhoused Persons,Services to Disproportionately Impacted Communities,1300000.00
Aug 2021,"Seattle City, Washington",Housing,Homelessness,Housing Support: Services for Unhoused Persons,Services to Disproportionately Impacted Communities,6700000.00
Aug 2021,"Seattle City, Washington",Housing,Homelessness,Housing Support: Other Housing Assistance,Services to Disproportionately Impacted Communities,7500000.00
Aug 2021,"Seattle City, Washington",Housing,Homelessness,Housing Support: Other Housing Assistance,Services to Disproportionately Impacted Communities,500000.00
Aug 2021,"Seattle City, Washington",Housing,Homelessness,Housing Support: Other Housing Assistance,Services to Disproportionately Impacted Communities,400000.00
Aug 2021,"Seattle City, Washington",Housing,Affordable Housing,Housing Support: Affordable Housing,Services to Disproportionately Impacted Communities,16300000.00
Aug 2021,"Seattle City, Washington",Community aid,Nonprofit Support,Housing Support: Affordable Housing,Services to Disproportionately Impacted Communities,2000000.00
Aug 2021,"Seattle City, Washington",Infrastructure,Public Space,"Other COVID-19 Public Health Expenses (including Communications, Enforcement, Isolation/Quarantine)",Public Health,1875000.00
Aug 2021,"Seattle City, Washington",Infrastructure,Public Space,Small Business Economic Assistance (General),Negative Economic Impacts,300000.00
Aug 2021,"Seattle City, Washington",Infrastructure,Public Space,"Other COVID-19 Public Health Expenses (including Communications, Enforcement, Isolation/Quarantine)",Public Health,625000.00
Aug 2021,"Seattle City, Washington",Community aid,Direct Payments or Subsidies,Provision of Government Services,Revenue Replacement,25900000.00
Dec 2021,"Seattle City, Washington",Housing,Homelessness,Housing Support: Other Housing Assistance,Services to Disproportionately Impacted Communities,400000.00
Dec 2021,"Seattle City, Washington",Public Health,COVID Response,Capital Investments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Public Health,330000.00
Dec 2021,"Seattle City, Washington",Community Aid,Youth and Family Support,Healthy Childhood Environments: Child Care,Services to Disproportionately Impacted Communities,1000000.00
Dec 2021,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Small Business Economic Assistance (General),Negative Economic Impacts,300000.00
Dec 2021,"Seattle City, Washington",Economic and Workforce Development,Youth Workforce Development,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Negative Economic Impacts,1000000.00
Dec 2021,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,500000.00
Dec 2021,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Aid to Other Impacted Industries,Negative Economic Impacts,500000.00
Dec 2021,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Other Economic Support,Negative Economic Impacts,275000.00
Dec 2021,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Negative Economic Impacts,300000.00
Dec 2021,"Seattle City, Washington",Housing,Homelessness,Housing Support: Other Housing Assistance,Services to Disproportionately Impacted Communities,500000.00
Dec 2021,"Seattle City, Washington",Housing,Homelessness,Housing Support: Services for Unhoused Persons,Services to Disproportionately Impacted Communities,2300000.00
Dec 2021,"Seattle City, Washington",Housing,Homelessness,Housing Support: Other Housing Assistance,Services to Disproportionately Impacted Communities,2300000.00
Dec 2021,"Seattle City, Washington",Community Aid,Youth and Family Support,Healthy Childhood Environments: Other,Services to Disproportionately Impacted Communities,225000.00
Dec 2021,"Seattle City, Washington",Government Operations Investments ,Government Employee Wages Or Hiring,Evaluation and Data Analysis,Administrative,1105000.00
Dec 2021,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,375000.00
Dec 2021,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,690000.00
Dec 2021,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Private Sector: Grants to Other Employers,Premium Pay,3000000.00
Dec 2021,"Seattle City, Washington",Government Operations Investments ,Government Employee Wages Or Hiring,Rehiring Public Sector Staff,Negative Economic Impacts,6300000.00
Dec 2021,"Seattle City, Washington",Community Aid,Nonprofit Support,Housing Support: Affordable Housing,Services to Disproportionately Impacted Communities,3000000.00
Dec 2021,"Seattle City, Washington",Government Operations Investments ,Government Employee Wages Or Hiring,Rehiring Public Sector Staff,Negative Economic Impacts,1100000.00
Dec 2021,"Seattle City, Washington",Infrastructure,Public Space,Social Determinants of Health: Other,Services to Disproportionately Impacted Communities,500000.00
Dec 2021,"Seattle City, Washington",Infrastructure,Public Space,Social Determinants of Health: Other,Services to Disproportionately Impacted Communities,600000.00
Dec 2021,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Aid to Other Impacted Industries,Negative Economic Impacts,350000.00
Dec 2021,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Small Business Economic Assistance (General),Negative Economic Impacts,150000.00
Dec 2021,"Seattle City, Washington",Economic and Workforce Development,Other Economic and Workforce Development,Small Business Economic Assistance (General),Negative Economic Impacts,580000.00
Dec 2021,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Small Business Economic Assistance (General),Negative Economic Impacts,3200000.00
Dec 2021,"Seattle City, Washington",Government Operations Investments ,"Investment In Government Facility, Equipment, and/or IT",Evaluation and Data Analysis,Administrative,1657632.00
Dec 2021,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Social Determinants of Health: Community Violence Interventions,Services to Disproportionately Impacted Communities,600000.00
Dec 2021,"Seattle City, Washington",Public Health,Mental Health,Social Determinants of Health: Other,Services to Disproportionately Impacted Communities,600000.00
Dec 2021,"Seattle City, Washington",Public Health,COVID Response,Healthy Childhood Environments: Child Care,Services to Disproportionately Impacted Communities,5000000.00
Dec 2021,"Seattle City, Washington",Economic and Workforce Development,Other Economic and Workforce Development,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Negative Economic Impacts,450000.00
Dec 2021,"Seattle City, Washington",Community Aid,Other Community Aid,Aid to Nonprofit Organizations,Negative Economic Impacts,140500.00
Dec 2021,"Seattle City, Washington",Economic and Workforce Development,Tourism and Hospitality,"Aid to Tourism, Travel,or Hospitality",Negative Economic Impacts,59500.00
Dec 2021,"Seattle City, Washington",Government Operations Investments ,"Investment In Government Facility, Equipment, and/or IT",Evaluation and Data Analysis,Administrative,920995.00
Dec 2021,"Seattle City, Washington",Government Operations Investments ,"Investment In Government Facility, Equipment, and/or IT","Other COVID-19 Public Health Expenses (including Communications, Enforcement, Isolation/Quarantine)",Public Health,1500000.00
Dec 2021,"Seattle City, Washington",Public Health,COVID Response,"Other COVID-19 Public Health Expenses (including Communications, Enforcement, Isolation/Quarantine)",Public Health,50000.00
Dec 2021,"Seattle City, Washington",Infrastructure,Public Space,"Other COVID-19 Public Health Expenses (including Communications, Enforcement, Isolation/Quarantine)",Public Health,2500000.00
Dec 2021,"Seattle City, Washington",Government Operations Investments ,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,26670000.00
Dec 2021,"Seattle City, Washington",Infrastructure,Broadband,Household Assistance: Internet Access Programs,Negative Economic Impacts,500000.00
Dec 2021,"Seattle City, Washington",Community Aid,Youth and Family Support,Education Assistance: Other,Services to Disproportionately Impacted Communities,6357891.00
Dec 2021,"Seattle City, Washington",Government Operations Investments ,"Investment In Government Facility, Equipment, and/or IT",Social Determinants of Health: Other,Services to Disproportionately Impacted Communities,1050000.00
Dec 2021,"Seattle City, Washington",Housing,Affordable Housing,Housing Support: Affordable Housing,Services to Disproportionately Impacted Communities,16300000.00
Dec 2021,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Negative Economic Impacts,400000.00
Dec 2021,"Seattle City, Washington",Economic and Workforce Development,Neighborhood/Downtown Revitalization,Other Economic Support,Negative Economic Impacts,6000000.00
Dec 2021,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Negative Economic Impacts,250000.00
Dec 2021,"Seattle City, Washington",Community Aid,Other Community Aid,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Negative Economic Impacts,25000.00
Dec 2021,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,2225000.00
Dec 2021,"Seattle City, Washington",Housing,Homelessness,Housing Support: Other Housing Assistance,Services to Disproportionately Impacted Communities,7500000.00
Dec 2021,"Seattle City, Washington",Housing,Other Housing,Housing Support: Services for Unhoused Persons,Services to Disproportionately Impacted Communities,1300000.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Small Business Economic Assistance (General),Negative Economic Impacts,4300000.00
Apr 2022,"Seattle City, Washington",Community Aid,Arts and Culture,Small Business Economic Assistance (General),Negative Economic Impacts,120000.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Small Business Economic Assistance (General),Negative Economic Impacts,225000.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Other Economic Support,Negative Economic Impacts,2000000.00
Apr 2022,"Seattle City, Washington",Government Operations Investments ,"Investment In Government Facility, Equipment, and/or IT","Other COVID-19 Public Health Expenses (including Communications, Enforcement, Isolation/Quarantine)",Public Health,2700000.00
Apr 2022,"Seattle City, Washington",Community Aid,Youth and Family Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,4300000.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,3200000.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,3000000.00
Apr 2022,"Seattle City, Washington",Community Aid,Nonprofit Support,Private Sector: Grants to other employers,Negative Economic Impacts,3000000.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Housing Support: Other Housing Assistance,Premium Pay,2300000.00
Apr 2022,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,2300000.00
Apr 2022,"Seattle City, Washington",Housing,Homelessness,Aid to Other Impacted Industries,Negative Economic Impacts,2225000.00
Apr 2022,"Seattle City, Washington",Community Aid,Arts and Culture,Rehabilitation of Commercial Properties or Other Improvements,Negative Economic Impacts,2000000.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Household Assistance: Food Programs,Negative Economic Impacts,1690000.00
Apr 2022,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Public Sector Capacity: Effective Service Delivery,Negative Economic Impacts,1657632.00
Apr 2022,"Seattle City, Washington",Government Operations Investments,"Investment In Government Facility, Equipment, and/or It",Long-Term Housing Security: Services for Unhoused persons,Public Health-Negative Economic Impact: Public Sector Capacity,1300000.00
Apr 2022,"Seattle City, Washington",Housing,Homelessness,Household Assistance: Food Programs,Negative Economic Impacts,1280000.00
Apr 2022,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Public Sector Capacity: Effective Service Delivery,Negative Economic Impacts,1105000.00
Apr 2022,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Public Sector Workforce: Rehiring Public Sector Staff,Administrative,1100000.00
Apr 2022,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1050000.00
Apr 2022,"Seattle City, Washington",Government Operations Investments,"Investment In Government Facility, Equipment, and/or It",Healthy Childhood Environments: Child Care,Public Health-Negative Economic Impact: Public Sector Capacity,1000000.00
Apr 2022,"Seattle City, Washington",Community Aid,Youth and Family Support,Mental Health Services,Negative Economic Impacts,600000.00
Apr 2022,"Seattle City, Washington",Public Health,Mental Health,Community Violence Interventions,Public Health,600000.00
Apr 2022,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Public Health,600000.00
Apr 2022,"Seattle City, Washington",Infrastructure,Public Space,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,580000.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Aid to Other Impacted Industries,Negative Economic Impacts,500000.00
Apr 2022,"Seattle City, Washington",Community Aid,Arts and Culture,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,500000.00
Apr 2022,"Seattle City, Washington",Housing,Homelessness,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,500000.00
Apr 2022,"Seattle City, Washington",Infrastructure,Public Space,Household Assistance: Internet Access Programs,Negative Economic Impacts,500000.00
Apr 2022,"Seattle City, Washington",Infrastructure,Broadband,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,400000.00
Apr 2022,"Seattle City, Washington",Housing,Homelessness,Aid to Other Impacted Industries,Negative Economic Impacts,350000.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Prevention in Congregate Settings (Nursing Homes Prisons/Jails Dense Work Sites Schools Child care facilities etc.),Negative Economic Impacts,330000.00
Apr 2022,"Seattle City, Washington",Public Health,COVID Response,Household Assistance: Food Programs,Public Health,308000.00
Apr 2022,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,COVID-19 Assistance to Small Businesses,Negative Economic Impacts,300000.00
Apr 2022,"Seattle City, Washington",Public Health,COVID Response,Technical Assistance Counseling or Business Planning,Public Health,275000.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Negative Economic Impacts,255200.00
Apr 2022,"Seattle City, Washington",Public Health,COVID Response,Economic Impact Assistance: Other,Public Health,225000.00
Apr 2022,"Seattle City, Washington",Community Aid,Youth and Family Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,225000.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,150000.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Assistance to Impacted Nonprofit Organizations (Impacted or Disproportionately Impacted),Negative Economic Impacts,140500.00
Apr 2022,"Seattle City, Washington",Community Aid,Other Community Aid,Aid to Other Impacted Industries,Negative Economic Impacts,120000.00
Apr 2022,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Tourism Travel or Hospitality,Negative Economic Impacts,59500.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Tourism and Hospitality,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,25000.00
Apr 2022,"Seattle City, Washington",Community Aid,Other Community Aid,Other Public Health Services,Negative Economic Impacts,4208860.00
Apr 2022,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,4186472.00
Apr 2022,"Seattle City, Washington",Infrastructure,Public Space,Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,2700000.00
Apr 2022,"Seattle City, Washington",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or It",Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,1500000.00
Apr 2022,"Seattle City, Washington",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or It",Other Public Health Services,Public Health,955824.00
Apr 2022,"Seattle City, Washington",Infrastructure,Public Space,Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,295000.00
Apr 2022,"Seattle City, Washington",Public Health,COVID Response,Housing Support: Other Housing Assistance,Public Health,29812968.00
Apr 2022,"Seattle City, Washington",Housing,Homelessness,Economic Impact Assistance: Other,Negative Economic Impacts,6357891.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Youth Workforce Development,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,2500000.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Neighborhood/Downtown Revitalization,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,1000000.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Youth Workforce Development,Aid to Other Impacted Industries,Negative Economic Impacts,500000.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,450000.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,400000.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Aid to Other Impacted Industries,Negative Economic Impacts,375000.00
Apr 2022,"Seattle City, Washington",Community Aid,Arts and Culture,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,300000.00
Apr 2022,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,250000.00
Apr 2022,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Provision of Government Services,Negative Economic Impacts,66331712.00
Apr 2022,"Seattle City, Washington",Government Operations Investments,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,26670000.00
Apr 2022,"Seattle City, Washington",Government Operations Investments,Fiscal Health Recovery,Administrative Expenses,Revenue Replacement,1411000.00
Apr 2022,"Seattle City, Washington",Government Operations Investments,Government Employee Wages Or Hiring,Public Sector Capacity: Effective Service Delivery,Administrative,920995.00
Apr 2022,"Seattle City, Washington",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or It",Administrative Expenses,Administrative,268592.00
Jul 2022,"Seattle City, Washington",Government Operations Investments,Other Government Investment,Administrative Expenses,Administrative,2072024.00
Jul 2022,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Administrative Expenses,Administrative,1411000.00
Jul 2022,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,5439457.00
Jul 2022,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Administrative Expenses,Administrative,268592.00
Jul 2022,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,308000.00
Jul 2022,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,955824.00
Jul 2022,"Seattle City, Washington",Public Health,COVID Response,Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,295000.00
Jul 2022,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,4186472.00
Jul 2022,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,0.00
Jul 2022,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,4208860.00
Jul 2022,"Seattle City, Washington",Government Operations Investments,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,66331712.00
Jul 2022,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,500000.00
Jul 2022,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,2225000.00
Jul 2022,"Seattle City, Washington",Community Aid,Other Community Aid,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,25000.00
Jul 2022,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,250000.00
Jul 2022,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,375000.00
Jul 2022,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1105000.00
Jul 2022,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,920995.00
Jul 2022,"Seattle City, Washington",Economic and Workforce Development,Tourism and Hospitality,Aid to Tourism Travel or Hospitality,Negative Economic Impacts,59500.00
Jul 2022,"Seattle City, Washington",Economic and Workforce Development,Tourism And Hospitality,Assistance to Impacted Nonprofit Organizations (Impacted or Disproportionately Impacted),Negative Economic Impacts,140500.00
Jul 2022,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,450000.00
Jul 2022,"Seattle City, Washington",Public Health,COVID Response,Prevention in Congregate Settings (Nursing Homes Prisons/Jails Dense Work Sites Schools Child care facilities etc.),Public Health,330000.00
Jul 2022,"Seattle City, Washington",Community Aid,Youth and Family Support,Economic Impact Assistance: Other,Negative Economic Impacts,225000.00
Jul 2022,"Seattle City, Washington",Community Aid,Youth and Family Support,Healthy Childhood Environments: Child Care,Negative Economic Impacts,5000000.00
Jul 2022,"Seattle City, Washington",Public Health,Mental Health,Mental Health Services,Public Health,600000.00
Jul 2022,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Community Violence Interventions,Public Health,698333.35
Jul 2022,"Seattle City, Washington",Housing,Homelessness,Housing Support: Other Housing Assistance,Negative Economic Impacts,2300000.00
